player_name,round_number,season,playoffownership,topownership,eliteownership,topdiff,elitediff
Christian Watson,12.1,2022,0.11172872340425533,0.14460077979318528,0.15849056603773584,0.032872056388929954,0.046761842633480516
Chuba Hubbard,17.3,2022,0.017845744680851063,0.016443464994066792,0.016981132075471698,-0.0014022796867842711,-8.646126053793654e-4
Clyde Edwards-Helaire,7.5,2022,0.07908244680851063,0.073232751313782,0.06792452830188679,-0.005849695494728635,-0.011157918506623843
Cole Beasley,17.5,2022,5.452127659574468e-4,1.6952025767079165e-4,NA,-3.756925082866551e-4,NA
Cole Kmet,11.3,2022,0.09835106382978723,0.113917613154772,0.13018867924528302,0.015566549324984774,0.03183761541549579
Cole Turner,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Collin Johnson,18,2022,2.6595744680851064e-5,NA,NA,NA,NA
Cooper Kupp,1,2022,0.06053191489361702,0.04831327343617562,0.05471698113207547,-0.0122186414574414,-0.005814933761541546
Cooper Rush,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Cordarrelle Patterson,9.3,2022,0.0956781914893617,0.10527208001356161,0.11886792452830189,0.009593888524199914,0.02318973303894019
Corey Davis,14.8,2022,0.09267287234042554,0.09730462790303442,0.09245283018867924,0.0046317555626088774,-2.200421517462997e-4
Courtland Sutton,3.5,2022,0.05666223404255319,0.04102390235633158,0.03207547169811321,-0.015638331686221606,-0.02458676234443998
Curtis Samuel,16.4,2022,0.10363031914893617,0.11866418036955416,0.11320754716981132,0.015033861220617992,0.009577228020875156
Cyril Grayson,17.5,2022,2.6595744680851064e-5,NA,NA,NA,NA
D'Andre Swift,2,2022,0.04776595744680851,0.025088998135277166,0.0037735849056603774,-0.022676959311531346,-0.043992372541148135
D'Ernest Johnson,17.4,2022,0.028816489361702127,0.02542803865061875,0.020754716981132074,-0.0033884507110833774,-0.008061772380570053
D'Onta Foreman,17.2,2022,0.055412234042553195,0.06560433971859637,0.0660377358490566,0.01019210567604318,0.010625501806503408
DJ Chark,12.6,2022,0.09082446808510639,0.09662654687235124,0.1018867924528302,0.005802078787244855,0.011062324367723808
DJ Moore,3.2,2022,0.07856382978723404,0.0730632310561112,0.06981132075471698,-0.005500598731122838,-0.008752509032517064
DK Metcalf,5,2022,0.11728723404255319,0.1362942871673165,0.1490566037735849,0.01900705312476332,0.03176936973103171
Dak Prescott,8,2022,0.04964095744680851,0.025088998135277166,0.013207547169811321,-0.024551959311531348,-0.03643341027699719
Dallas Goedert,8.2,2022,0.09905585106382979,0.09611798609933887,0.07924528301886792,-0.002937864964490916,-0.019810568044961868
Dalton Schultz,6.5,2022,0.059920212765957444,0.04102390235633158,0.03207547169811321,-0.01889631040962586,-0.027844741067844236
Dalvin Cook,1.1,2022,0.049122340425531916,0.02542803865061875,0.018867924528301886,-0.023694301774913166,-0.03025441589723003
Dameon Pierce,9.5,2022,0.10605053191489362,0.10544160027123241,0.09622641509433963,-6.089316436612147e-4,-0.009824116820553994
Damien Harris,8.6,2022,0.07144946808510638,0.05661976606204441,0.045283018867924525,-0.01482970202306197,-0.026166449217181857
Damien Williams,17.5,2022,0.0025132978723404254,0.0027123241227326664,NA,1.9902625039224095e-4,NA
Damiere Byrd,14,2022,1.3297872340425532e-5,NA,NA,NA,NA
Dan Arnold,17.6,2022,6.515957446808511e-4,0.0011866418036955415,NA,5.350460590146904e-4,NA
Daniel Bellinger,17.7,2022,0.007925531914893617,0.008136972368197999,0.0018867924528301887,2.1144045330438212e-4,-0.006038739462063429
Daniel Jones,14.2,2022,0.09263297872340426,0.09018477708086116,0.0830188679245283,-0.002448201642543099,-0.00961411079887596
Danny Gray,17.5,2022,0.006396276595744681,0.006102729276148499,0.0037735849056603774,-2.935473195961819e-4,-0.002622691690084304
Dante Pettis,17.6,2022,1.3297872340425532e-4,1.6952025767079165e-4,NA,3.654153426653633e-5,NA
Dare Ogunbowale,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Dareke Young,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Darius Slayton,17.8,2022,7.579787234042553e-4,8.476012883539584e-4,NA,8.962256494970304e-5,NA
Darnell Mooney,5.6,2022,0.07690159574468085,0.0628920155958637,0.05849056603773585,-0.014009580148817147,-0.018411029706944998
Darrel Williams,15.8,2022,0.04857712765957447,0.04305814544838108,0.03018867924528302,-0.005518982211193388,-0.01838844841429145
Darrell Henderson,11.4,2022,0.07013297872340425,0.054924563485336496,0.035849056603773584,-0.015208415238067756,-0.03428392211963067
Darren Waller,4.5,2022,0.05168882978723404,0.03203932869977962,0.020754716981132074,-0.01964950108745442,-0.030934112806101966
Darrynton Evans,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Davante Adams,1.2,2022,0.1308909574468085,0.19291405322936092,0.23773584905660378,0.06202309578255241,0.10684489160979527
David Bell,16.2,2022,0.05461436170212766,0.04661807085946771,0.0509433962264151,-0.007996290842659952,-0.003670965475712565
David Johnson,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
David Montgomery,5.4,2022,0.08827127659574469,0.08408204780471266,0.05849056603773585,-0.004189228791032021,-0.029780710558008835
David Njoku,13.8,2022,0.10123670212765958,0.10849296490930667,0.1018867924528302,0.007256262781647094,6.500903251706186e-4
David Sills,18,2022,5.319148936170213e-5,1.6952025767079165e-4,NA,1.1632876830908951e-4,NA
Davis Mills,17,2022,0.04893617021276596,0.032886929988133584,0.024528301886792454,-0.016049240224632375,-0.024407868325973504
Dawson Knox,9,2022,0.0823936170212766,0.06763858281064587,0.05471698113207547,-0.014755034210630721,-0.02767663588920112
DeAndre Carter,17.8,2022,1.5957446808510637e-4,NA,NA,NA,NA
DeAndre Hopkins,6.8,2022,0.0888563829787234,0.08018308187828445,0.07169811320754717,-0.008673301100438957,-0.017158269771176238
DeSean Jackson,18,2022,2.6595744680851064e-5,NA,NA,NA,NA
DeVante Parker,11.8,2022,0.07679521276595745,0.07238515002542804,0.06792452830188679,-0.004410062740529408,-0.00887068446407066
DeVonta Smith,6.7,2022,0.11238031914893618,0.11917274114256654,0.09811320754716982,0.006792421993630365,-0.014267111601766358
Dee Eskridge,17.9,2022,9.308510638297873e-5,3.390405153415833e-4,NA,2.4595540895860457e-4,NA
DeeJay Dallas,17.6,2022,2.127659574468085e-4,NA,NA,NA,NA
Deebo Samuel,2,2022,0.058191489361702126,0.033565011018816746,0.01509433962264151,-0.02462647834288538,-0.04309714973906062
Demarcus Robinson,17.6,2022,0.0023803191489361704,0.0018647228343787084,NA,-5.15596314557462e-4,NA
Demetric Felton,18,2022,7.978723404255319e-5,NA,NA,NA,NA
Denzel Mims,17.6,2022,2.792553191489362e-4,1.6952025767079165e-4,NA,-1.0973506147814453e-4,NA
Deon Jackson,17.7,2022,7.978723404255319e-5,NA,NA,NA,NA
Deonte Harty,17.7,2022,2.526595744680851e-4,NA,NA,NA,NA
Derek Carr,9.4,2022,0.07211436170212766,0.06373961688421767,0.05471698113207547,-0.008374744817909993,-0.01739738057005219
Derrick Gore,17.8,2022,1.3297872340425532e-4,NA,NA,NA,NA
Derrick Henry,1,2022,0.08940159574468085,0.07153754873707407,0.045283018867924525,-0.01786404700760677,-0.04411857687675632
Derrius Guice,18,2022,1.1968085106382978e-4,NA,NA,NA,NA
Deshaun Watson,15,2022,0.06037234042553191,0.04509238854043058,0.02830188679245283,-0.015279951885101332,-0.03207045363307908
Desmond Ridder,17.7,2022,0.0026861702127659575,0.0013561620613663332,0.0018867924528301887,-0.0013300081513996243,-7.993777599357688e-4
